Timestep: 0
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0115892	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0100872	2.75752e-05	-9.08764e-06
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.0311679	-1.80348e-05	1.30275e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.0147903	-3.52482e-05	-8.91103e-06
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.00332797	-3.33379e-05	2.84467e-05
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.0171222	1.8873e-05	-6.16801e-05
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0118786	-4.10218e-05	1.92558e-05
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.0134155	-3.78664e-05	7.7354e-05
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.00444904	9.47908e-05	0.00012262
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0135453	9.11169e-05	0.00018318

Timestep: 1
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0231784	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0201744	5.51505e-05	-1.81753e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.0623359	-3.60696e-05	2.60549e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.0295807	-7.04965e-05	-1.78221e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.00665594	-6.66757e-05	5.68933e-05
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.0342443	3.77459e-05	-0.00012336
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0237573	-8.20437e-05	3.85115e-05
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.026831	-7.57327e-05	0.000154708
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.00889807	0.000189582	0.000245239
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0270907	0.000182234	0.000366361

Timestep: 2
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0347677	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0302615	8.27257e-05	-2.72629e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.0935038	-5.41044e-05	3.90824e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.044371	-0.000105745	-2.67331e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.00998391	-0.000100014	8.534e-05
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.0513665	5.66189e-05	-0.00018504
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0356359	-0.000123066	5.77673e-05
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.0402465	-0.000113599	0.000232062
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0133471	0.000284372	0.000367859
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.040636	0.000273351	0.000549541

Timestep: 3
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0463569	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0403487	0.000110301	-3.63506e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.124672	-7.21391e-05	5.21098e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.0591613	-0.000140993	-3.56441e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0133119	-0.000133351	0.000113787
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.0684886	7.54918e-05	-0.000246721
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0475145	-0.000164087	7.7023e-05
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.053662	-0.000151465	0.000309416
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0177961	0.000379163	0.000490478
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0541814	0.000364467	0.000732722

Timestep: 4
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0579461	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0504359	0.000137876	-4.54382e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.15584	-9.01739e-05	6.51373e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.0739517	-0.000176241	-4.45552e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0166398	-0.000166689	0.000142233
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.0856108	9.43648e-05	-0.000308401
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0593932	-0.000205109	9.62788e-05
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.0670775	-0.000189332	0.00038677
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0222452	0.000473954	0.000613098
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0677267	0.000455584	0.000915902

Timestep: 5
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0695353	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0605231	0.000165451	-5.45258e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.187008	-0.000108209	7.81647e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.088742	-0.000211489	-5.34662e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0199678	-0.000200027	0.00017068
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.102733	0.000113238	-0.000370081
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0712718	-0.000246131	0.000115535
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.080493	-0.000227198	0.000464124
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0266942	0.000568745	0.000735717
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0812721	0.000546701	0.00109908

Timestep: 6
Index	Mass		X		Y		Z		Vx		Vy		Vz
